bin_selection,time,x,xerr,x2,xerr2,n,v,verr,diodes_diode,diodes_diodeerr,diodes_m2,diodes_m2err,y,yerr
73,77683502.28907295,13002.743878026104,5.176270076831655e-05,12816.471109972015,2.1702155317871084e-06,518.0,39991.52069961393,0.00650550726741209,0.03292579254393359,0.0011361366393319887,0.02304582379677679,0.030618439746828995,51.0,7.14142842854285
74,77683498.44673082,13002.744079224878,5.728017501615001e-05,12816.471106446348,3.6515953000332014e-06,488.0,39991.52230942637,0.01111608863407682,0.032247711172628604,0.001310319205884225,0.021694311661072684,0.031862351364414454,50.0,7.0710678118654755
75,77683494.45022589,13002.744275288756,6.086427405390104e-05,12816.471108390018,4.757560750585517e-06,554.0,39991.497600000264,0.0,0.03225783876322898,0.0011051458851610272,0.028964381445142087,0.03339773005728136,73.0,8.54400374531753
76,77683490.47409765,13002.744480101092,5.1216193550376293e-05,12816.471107323458,5.050840224364319e-06,484.0,39991.631736363364,0.03451662665284025,0.032715114155877904,0.001182043606913959,0.020377516022857624,0.030318498735621584,47.0,6.855654600401044
77,77683486.48963618,13002.74467389251,6.0171884939961984e-05,12816.47111038877,4.0353540704373985e-06,557.0,39991.57037522433,0.05447084127885588,0.03277933891401515,0.001105782797730779,0.021749254759167256,0.031028703168190674,57.0,7.54983443527075
78,77683482.50652973,13002.744880417167,5.799760481116657e-05,12816.47110949733,3.873176382467998e-06,480.0,39991.494660833625,0.0459641319489263,0.03281409335448132,0.0011658677391880614,0.0228982206492673,0.032639840039244285,60.0,7.745966692414834
79,77683478.85105006,13002.745087220117,5.688213879432167e-05,12816.471109586852,2.9318843531255673e-06,475.0,39991.43180000027,0.0,0.031908532841408946,0.0009001689412887291,0.02255999247202727,0.03229983931326047,46.0,6.782329983125268
80,77683475.17125352,13002.745278783676,5.6426147736360456e-05,12816.471110575136,6.0880347107997786e-06,487.0,39991.51175544198,0.018222564533661705,0.0320490958155635,0.0011482487577798971,0.021834700997041434,0.030832037536791132,53.0,7.280109889280518
81,77683471.3086883,13002.745476196824,5.6958898976458994e-05,12816.471108679734,3.5419485019235408e-06,519.0,39991.452744316215,0.050463491530846345,0.03200935137680911,0.0010366745628552908,0.020822558265940084,0.03405151582014104,41.0,6.4031242374328485
82,77683467.20211266,13002.745676514234,5.9587816747983424e-05,12816.471108942816,3.0300416361034537e-06,555.0,39991.46114576595,0.06288828095502208,0.03217666158470004,0.0010004769372959886,0.024405613327644394,0.0308799130036129,77.0,8.774964387392123
83,77683463.21112059,13002.745882982925,6.324931627268877e-05,12816.471110251676,3.0021276639568615e-06,485.0,39991.54301587669,0.0027424154480806574,0.03252022508663079,0.0013366785342083345,0.024804948626050146,0.032198134229959895,58.0,7.615773105863909
84,77683459.36727656,13002.746083891478,5.680378942746791e-05,12816.471111805542,2.883519201988701e-06,518.0,39991.55350000029,0.0,0.03276767748218702,0.0011655326824817581,0.023125198836319746,0.03187181244481336,57.0,7.54983443527075
85,77683455.38576466,13002.746291913209,5.49771003248681e-05,12816.471111781957,3.040388749722361e-06,527.0,39991.502463947,0.027289182073190574,0.03327656812686032,0.0010803918500053864,0.018930970377845854,0.029099210330596457,92.0,9.591663046625438
86,77683451.5502206,13002.746480746353,4.852021072054335e-05,12816.471110679775,4.648678915933288e-06,481.0,39991.50088128904,0.013977424637289938,0.03341337504208425,0.0010997966905036286,0.019648230559054573,0.03134664710986527,60.0,7.745966692414834
